-162.0638839,-53.91893624
-286.3893176,-53.91893624
-376.1660668,-20.03053097
-285.2593997,-20.03053097
-387.2966115,-455.3712068
-213.5641809,-455.3712068
-393.8426193,0.067218118
-385.0446161,0.067218118
-285.9901419,-9.383796834
-312.9242513,-9.383796834
-233.2358728,-8.713760304
-210.9189291,-8.713760304
-210.2924807,-20.94930943
-147.0415789,-20.94930943
-418.1290945,23.16870807
-421.2989396,23.16870807
-370.8451626,-8.099715591
-412.6964067,-8.099715591
-229.1444327,-10.58780342
-318.8686911,-10.58780342
-307.242018,31.16597314
-352.1879253,31.16597314
-389.4212406,10.38901602
-465.3645092,10.38901602
-265.0660956,-4.180937147
-304.2415417,-4.180937147
-343.0157518,-38.88243317
-340.5683949,-38.88243317
-311.3207274,-14.74293785
-410.4994639,-14.74293785
-183.187051,26.96721992
-205.2418045,26.96721992
-412.7789532,23.26703034
-325.5135919,23.26703034
-367.8697666,16.15793438
-406.1027494,16.15793438
-327.3529892,0.794809549
-352.5479947,0.794809549
-223.4619109,-4.86553323
-200.3716426,-4.86553323
-306.2119371,-229.4754606
-252.6597619,-229.4754606
-391.8814793,1.102327961
-388.8243139,1.102327961
-358.6131407,4.968333491
-402.0860039,4.968333491
-441.4250612,-5.490832697
-461.0572659,-5.490832697
-290.2074765,-693.6679965
-360.3839138,-693.6679965
-234.5178792,-589.6115727
-243.6984758,-589.6115727
-379.0647711,-1.118611697
-346.5032046,-1.118611697
-375.1853884,-21.31142313
-408.7103654,-21.31142313
-166.1364617,-45.23008092
-289.2430767,-45.23008092
-370.623402,-452.2287812
-306.0451708,-452.2287812
-144.082012,25.85334827
-79.10055135,25.85334827
-326.2691175,49.42835545
-276.3246438,49.42835545
-310.5879632,-27.6561773
-323.5058208,-27.6561773
-183.484187,-9.021458552
-181.3157215,-9.021458552
-279.1084875,2.184573003
-300.0151609,2.184573003
-305.2271853,-40.57604867
-394.2228978,-40.57604867
-430.4464954,11.37743229
-260.9725842,11.37743229
-293.6694696,-402.3802149
-337.3235471,-402.3802149
-467.5196253,9.322155689
-363.6607117,9.322155689
-429.0998793,-6.268048671
-374.755249,-6.268048671
-354.7534482,21.02027676
-334.7071576,21.02027676
-271.4308782,-15.26689926
-256.7118004,-15.26689926
-332.3801071,30.84982201
-359.466946,30.84982201
-277.142181,20.56676748
-329.3874347,20.56676748
-78.47308358,-515.3034459
-151.5182293,-515.3034459
-490.6117932,-3.221586195
-461.5429123,-3.221586195
-249.8215952,-124.0110883
-266.3803653,-124.0110883
-283.964938,-8.939182745
-283.6449886,-8.939182745
-364.0934864,-6.461810246
-437.738977,-6.461810246
-387.4094482,4.446368084
-323.559345,4.446368084
